Sample_id,GSM803665,GSM803666,GSM803667,GSM803668,GSM803669,GSM803670,GSM803671,GSM803672,GSM803723,GSM803724,GSM803725,GSM803726,GSM803727,GSM803728,GSM803729,GSM803730,GSM803781,GSM803782,GSM803783,GSM803784,GSM803785,GSM803786,GSM803787,GSM102682,GSM102683
1562413_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,27,14
1562414_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,1
1562415_a_at,6,5,5,4,5,5,5,5,6,5,5,5,5,5,5,5,7,4,5,4,5,5,5,2,2
1562416_at,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,54,13
1562418_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,9
1562420_at,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,7
1562424_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,5
1562425_at,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,6,4,4,4,2
1562426_a_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,13,17
1562428_at,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,33,27
1562431_x_at,2,2,3,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,3,2,3,3,3,15,4
1562432_at,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,15,6
1562433_at,4,4,4,4,4,3,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,14,14
1562434_at,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,5,5,6,5,5,5,6,5,97,30
1562436_at,5,5,5,4,4,4,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5
1562439_at,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,6
1562440_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16,11
1562442_a_at,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,46,31
1562443_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,6,14
1562446_at,5,4,4,5,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,6,26
1562447_a_at,5,4,5,5,4,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,4,7,3
1562449_s_at,6,5,5,5,6,5,6,6,5,5,5,6,5,5,5,5,6,5,5,5,6,5,6,3,9
1562453_at,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,2
1562454_at,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,4,4,4,4,3,3,3,4,50,25
1562455_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,15,32
1562456_at,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,51,33
1562457_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1562458_at,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,15
1562459_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,6
1562460_at,6,6,6,6,6,6,6,6,6,6,7,6,7,6,6,6,7,6,7,6,6,6,6,80,55
1562462_at,5,4,5,5,4,5,5,4,4,4,5,4,4,5,4,5,4,4,5,4,4,4,4,17,24
1562463_at,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,22,21
1562464_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,12,12
1562467_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,100,46
1562468_at,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,15,10
1562469_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,12
1562470_at,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,9
1562472_at,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,1
1562473_at,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,1
1562474_at,5,4,5,7,5,4,5,6,6,4,5,7,6,4,5,5,5,4,4,7,4,5,6,46,51
1562475_at,3,4,4,4,6,7,7,4,3,4,3,5,5,6,7,5,3,4,4,4,7,7,4,25,23
1562476_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24,21
1562477_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,53,10
1562478_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
1562480_at,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
1562481_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,45,18
1562482_at,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,2,2
1562484_at,3,4,3,5,4,3,3,3,3,5,3,5,4,3,3,3,3,5,3,5,3,3,3,6,7
1562487_at,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,5,22,3
1562488_at,5,6,6,5,4,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,5,19,26
1562490_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,12
1562491_at,3,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,2,2,2,3,3,2,3,6,1
1562492_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
1562495_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24,3
1562496_at,4,4,5,5,4,5,5,5,4,4,5,5,5,5,4,4,4,5,4,4,4,4,4,5,3
1562497_at,4,5,4,4,4,4,4,4,4,4,5,4,5,4,3,4,4,4,4,4,4,4,4,165,80
1562499_at,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,32,15
1562501_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1562502_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,1,2
1562505_at,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4,5,4,84,86
1562507_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,7
1562509_at,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,37,15
1562510_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5
1562511_at,3,4,5,3,3,3,4,4,3,4,4,3,3,3,4,4,3,5,5,4,3,4,4,41,27
1562512_at,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6
1562514_at,3,2,2,2,3,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,10,9
1562516_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,74,36
1562520_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16,11
1562523_at,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,1,15
1562524_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,5
1562527_at,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,26,108
1562528_at,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,3,2,3,172,291
1562529_s_at,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,4,4,5,4,3,4,3,4,572,855
1562532_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,20
1562537_at,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3,3,3,3,3,52,2
1562540_at,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,14
1562541_at,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,7
1562543_at,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3
1562544_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3
1562546_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,27
1562549_at,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4,4,4,13,16
1562550_at,4,3,4,4,3,4,3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3,10,25
1562553_at,2,2,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,0,0
1562557_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19
1562558_at,3,3,2,3,3,3,3,3,2,3,2,3,2,3,3,2,3,3,3,3,3,3,3,2,14
1562559_at,5,5,4,4,5,5,5,5,5,4,4,5,5,4,4,5,4,5,4,5,5,5,4,4,3
1562562_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,2
1562563_at,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,4
1562566_at,3,2,3,2,2,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,0
1562568_at,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,10,20
1562572_at,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,37,19
1562573_at,2,2,3,3,2,3,3,3,2,3,2,3,2,2,3,2,2,2,2,3,3,2,2,10,0
1562576_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1
1562577_at,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,40,13
1562579_at,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,9,10
1562581_at,5,4,4,5,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,6
1562582_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,4
1562583_s_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,17
1562585_at,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
1562586_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,12,9
1562587_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,33,11
1562588_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,12
1562589_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,25
1562590_at,4,5,5,4,4,4,5,4,4,4,5,4,5,4,5,4,4,4,5,4,5,5,5,31,24
1562591_a_at,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,5
1562595_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,12
1562596_at,3,2,2,2,3,3,2,2,3,3,3,2,3,3,3,3,2,2,3,2,3,3,3,11,3
1562597_at,3,3,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,4,3,3,4,3,4,18,15
1562598_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,12,22
1562600_at,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30,8
1562601_at,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,33,7
1562603_at,6,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,32
1562604_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,3
1562606_a_at,5,5,4,6,5,5,5,5,5,5,5,6,5,5,5,4,5,5,5,6,5,5,5,23,9
1562607_at,3,3,3,2,2,2,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,12,7
1562608_at,2,2,3,3,3,3,3,2,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,52,10
1562610_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,51
1562611_at,3,2,2,2,2,2,3,2,2,3,2,2,3,2,3,2,2,3,3,2,2,3,2,1,2
1562612_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,34,25
1562613_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,4
1562616_at,2,2,3,3,3,3,2,3,2,3,2,3,3,3,3,2,2,3,3,2,3,2,3,2,16
1562617_at,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,26
1562619_at,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,11
1562621_at,4,4,3,4,3,4,4,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,16
1562623_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2
1562624_at,5,5,5,4,4,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,5,1
1562625_at,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,17
1562627_at,6,6,5,6,5,5,5,6,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,44,27
1562628_at,2,2,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,1,7
1562629_a_at,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,4
1562630_at,3,3,3,4,3,3,4,3,4,3,3,3,4,4,3,4,4,4,3,3,4,3,4,2,2
1562631_at,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,3,3,4,3,4,3,3,4,2,4
1562632_at,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,30,2
1562633_at,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,4,3,3,3,3,4,4,3,2,15
1562634_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,20
1562637_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,2
1562638_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,10
1562639_at,3,3,4,3,4,4,3,4,3,4,4,3,4,3,4,3,3,3,4,3,3,3,3,2,2
1562640_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,8
1562641_at,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,4,4,5,5,4,3
1562642_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,13
1562643_at,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,30,26
1562644_at,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,21,9
1562645_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4
1562648_at,3,3,4,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,39,15
1562650_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38,1
1562651_at,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13
1562653_at,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16,2
1562655_at,3,4,3,4,3,3,4,3,4,4,4,3,3,3,4,3,3,3,3,4,4,3,3,2,1
1562656_at,3,3,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,28,18
1562657_a_at,6,8,8,7,8,8,7,8,5,7,7,6,7,8,7,7,5,7,8,7,8,7,7,36,16
1562659_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
1562661_at,4,4,4,4,4,4,4,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,5,4,3
1562664_at,6,4,5,6,4,5,4,5,7,5,5,5,5,5,5,4,5,4,4,5,4,4,5,58,37
1562665_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,14
1562669_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
1562670_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,4
1562671_s_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,22
1562673_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,91,67
1562674_at,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,41,36
1562675_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,32
1562677_at,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,7
1562678_at,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,28,17
1562681_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,46,20
1562682_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1
1562683_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,9
1562684_at,3,3,3,4,4,3,4,4,4,3,3,3,4,3,4,4,3,3,3,3,3,4,4,65,18
1562686_at,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,13,3
1562687_x_at,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,14,14
1562688_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1562689_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,29,22
1562690_at,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,9
1562691_at,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,5
1562693_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,7,2
1562694_at,3,4,4,3,3,3,3,4,4,3,3,4,3,3,3,3,4,4,3,4,3,3,4,4,1
1562695_at,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4
1562696_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8
1562697_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25,55
1562698_x_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,9
1562699_at,3,3,3,3,3,3,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,4,18,18
1562701_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,17,16
1562703_at,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,10,9
1562710_at,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1
1562712_at,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,18
1562713_a_at,8,3,3,3,4,4,4,3,8,4,4,4,4,4,3,4,8,4,3,3,4,4,4,23,12
1562715_at,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,21,1
1562716_at,4,3,4,4,3,3,3,3,4,3,3,3,4,4,4,3,3,3,3,4,3,4,4,13,25
1562717_at,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,9,8
1562718_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
1562719_at,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,3,30,9
1562720_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
1562722_at,4,3,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,20,13
1562723_at,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,32,18
1562724_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,4
1562727_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,18
1562728_at,6,5,6,5,5,5,5,6,6,5,5,5,5,6,5,6,6,6,5,5,5,5,5,23,4
1562729_at,5,6,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,27,2
1562730_a_at,4,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,6,4,5,5,14,21
1562731_s_at,5,4,4,5,4,4,4,5,5,4,4,5,4,4,4,4,5,4,4,4,5,4,4,36,20
1562732_at,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,4,3,3,3,4,3,4,9,1
1562733_at,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,55,24
1562736_at,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2,3,1,4
1562737_at,2,3,2,3,3,3,3,3,2,3,3,2,2,2,2,3,2,3,3,2,2,2,2,9,1
1562738_a_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,5
1562739_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,6
1562740_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2
1562741_at,4,3,4,4,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,36,25
1562742_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,36,11
1562743_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,36,14
1562745_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,52,45
1562747_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
1562748_at,4,3,4,3,3,4,4,3,3,3,3,4,4,4,3,4,3,3,3,3,4,3,4,15,1
1562749_at,5,4,5,5,4,5,4,4,5,4,4,5,5,5,5,4,5,4,4,4,4,4,4,11,6
1562750_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1
1562751_at,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,7,11
1562752_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,1
1562753_at,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,10,10
1562754_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4
1562755_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,35,81
1562759_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,14
1562760_at,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,5,5,4,3,2
1562761_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,37,24
1562762_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,1
1562764_at,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,16
1562765_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
1562766_at,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,5,1
1562770_at,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,7,7
1562771_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18,27
1562772_a_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,28,11
1562775_at,2,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,10,1
1562776_at,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,4,4,8,6
1562777_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10
1562778_at,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,3,7
1562780_at,2,2,2,3,2,2,2,3,2,2,2,2,3,2,3,2,3,2,3,2,3,3,3,2,1
1562783_at,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,2,24
1562785_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,29
1562786_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1562787_at,4,3,3,3,3,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3
1562788_at,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,2
1562789_at,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,5,4,4,4,15,19
1562790_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
1562791_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1562792_at,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30,23
1562793_at,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,29,2
1562794_at,4,4,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,4,3,3,25,20
1562797_at,5,4,4,5,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,38,22
